Identifier	StudyName	Species	CancerType	TissueType	UberonOntologyID	malingnant.vs.non-malignant	immune.vs.non-immune	CellType	CellName	CellType2	GeneSymbol	GeneCount	PMID	Year	ResourceType	DB source
Kim.2015.HCC.TIL:Cancer cell:PD1_High_CD8_T Cell	Kim.2015.HCC.TIL	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	T cell subtype	PD1_High_CD8_T Cell	Significantly Up-regulated Genes in PD1-High Tumor-Infiltrating CD8 T Cells (vs PD1-Intermediate Tumor-Infiltrating CD8 T cells)	"TOX2, WNT9A, SH3BGRL2, TBC1D3B, MLC1, LYST, BET1, CXXC11, TTYH3, KIR2DL4, AKAP5, HLCS, SGOL2, HIST1H4C, DGKH, GLDC, HAVCR2, ASPDH, THAP8, P2RY1, SNAP47, RDH10, CTLA4, ZXDA, LUC7L2, VSIG8, TRIM50, TBC1D3C, TBC1D3H, FCGR2C, RGS1, TIGIT, HMGB2, CD70, RCC2, NCAPG, C3orf14, SLC2A8, ZBED2, TMEM155, TMEM234, CHST2, PER3, GFOD1, PDCD1, ITGB8, GPR63, KIR2DL2, HS2ST1, MEX3B, GPR56, MINOS1-NBL1, RAI1, DCLRE1A, DNAL4, CD200, SSH1, VCAM1, RBAK-RBAKDN, IGFLR1, SETD9, ETV1, FKBP6, ARNT, LIN9, RECQL4, CEP55, RSC1A1, NUSAP1, AP001885.1, BMP8A, TPCN2, CCDC74A, FAM72A, SALL2, SFMBT2, DUSP4, ATG5, FABP5, STRIP2, LRIG2, MYO5B, PIF1, SPAG8, HIST1H2BM, TAS2R14, TRIM6?TRIM34, JMJD4, CASZ1, ZNF256, CCL3L3, VSIG10, TMPRSS11D, TRIM34, IFI16, AARS2, PALMD, LXN, CPT2, GLRX2"	100	30145359	2018	Bulk	scTyper sigDB
Kim.2015.HCC.TIL:Cancer cell:PD1_intermediate_CD8_T Cell	Kim.2015.HCC.TIL	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	T cell subtype	PD1_intermediate_CD8_T Cell	Significantly Down-regulated Genes in PD1-High Tumor-Infiltrating CD8 T Cells (vs PD1-Intermediate Tumor-Infiltrating CD8 T Cells)	"NSG1, IL7R, CYB561, SORL1, CCR7, TCF7, MGAT5, KCNQ1, GRASP, C1orf162, ZNF395, RGAG4, TKTL1, IRS2, FGFBP2, SC5D, TYROBP, CD300A, GALNT6, PLXDC1, AUTS2, CD83, ADRB2, LST1, IL4I1, PLAUR, HOXA4, KCNAB1, FAM169A, TLE1, CDKN1A, IL23A, C20orf112, GDPD5, CCR6, TUBB2A, YIPF5, CD68, FES, EGLN3, KLF3, PLAG1, ANXA2, ATG10, NECAB2, PHYHD1, MATK, LDLRAP1, ASL, MFHAS1, MFAP3L, PLEKHG3, S1PR1, SASH1, NCR3, SATB1, CAPG, TSPAN2, DHRS3, EMP1, S1PR5, RIMS3, RAP1GAP2, LAMA4, CMKLR1, CXCR2, CAST, TMEM119, LAIR1, NR6A1, LYPD3, FLT3LG, C2orf42, SEMA4C, ZFR2, MGAT4A, C3AR1, CD177, ARHGAP5, ZBTB16, SPOCK2, ENPP1, PCNX, VSTM4, PRNP, SOX13, ACVR1B, RASGRP2, DSE, ORAI2, GPR183, PLAC8, TMEM159, RHBG, PELI2, SORBS3, B3GNT8, FKTN, ITGA6, CCDC150"	100	30145359	2018	Bulk	scTyper sigDB
Lachenmayer.2012.HCC.subtype:Cancer cell:CTNNB1_class	Lachenmayer.2012.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	CTNNB1_class	Up-regulated genes (CTNNB1 class vs. rest samples) and down-regulated genes (WNT-TGFB class vs. rest samples)	"DVL2, RUVBL1, DAAM1, ROCK2, SMAD3, BRD7, SALL1, SOX1, CDX1, LRP1, DVL1"	11	22811581	2012	Bulk	scTyper sigDB
Lachenmayer.2012.HCC.subtype:Cancer cell:WNT_TGFB_class	Lachenmayer.2012.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	WNT_TGFB_class	Up-regulated genes (WNT-TGFB class vs. rest samples) and down-regulated genes (CTNNB1 class vs. rest samples)	"CDH1, ARRB1, CTBP2, PLAU, MAP1B, FZD6, FZD7, TCF4, ARRB2, FRAT2, MMP7, RAC2, ROR2, CDC2, PLCB4, FZD2, RUNX2, HDAC1, CCND3, AKT3"	20	22811581	2012	Bulk	scTyper sigDB
Lambrechts.2018.NSCLC.TME:Cancer cell:T_cell	Lambrechts.2018.NSCLC.TME	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	Immune	T cell	T_cell	T cell	"CD3D, TRAC, TRBC1, TRBC2"	4	29988129	2018	Single-cell	scTyper sigDB
Lambrechts.2018.NSCLC.TME:Cancer cell:B_cell	Lambrechts.2018.NSCLC.TME	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	Immune	B cell	B_cell	B cell	"CD79A, IGKC, IGLC3, IGHG3"	4	29988129	2018	Single-cell	scTyper sigDB
Lambrechts.2018.NSCLC.TME:Cancer cell:Endothelial_cell	Lambrechts.2018.NSCLC.TME	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	non-Immune	Endothelial cell	Endothelial_cell	Endothelial cell	"CLDN5, FLT1, CDH5, RAMP2"	4	29988129	2018	Single-cell	scTyper sigDB
Lambrechts.2018.NSCLC.TME:Cancer cell:Epithelial_cell	Lambrechts.2018.NSCLC.TME	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	non-Immune	Epithelial_cell	Epithelial_cell	Epithelial_cell	"CAPS, TMEM190, PIFO, SNTN"	4	29988129	2018	Single-cell	scTyper sigDB
Lambrechts.2018.NSCLC.TME:Cancer cell:Myeloid_cell	Lambrechts.2018.NSCLC.TME	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	Immune	Myeloid cell	Myeloid_cell	Myeloid cell	"LYZ, MARCO, CD68, CD16A, FCGR3A"	5	29988129	2018	Single-cell	scTyper sigDB
Lambrechts.2018.NSCLC.TME:Cancer cell:Fibroblast	Lambrechts.2018.NSCLC.TME	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	non-Immune	Fibroblast	Fibroblast	Fibroblast	"COL1A1, DCN, COL1A2, C1R"	4	29988129	2018	Single-cell	scTyper sigDB
Lambrechts.2018.NSCLC.TME:Cancer cell:Alveolar_cell	Lambrechts.2018.NSCLC.TME	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	non-Immune	Alveolar cell	Alveolar_cell	Alveolar cell	"CLDN18, FOLR1, AQP4, PEBP4"	4	29988129	2018	Single-cell	scTyper sigDB
Li.2017.CRC.TME:Cancer cell:B_cell	Li.2017.CRC.TME	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	B cell	B_cell	B cell	"CD38, MZB1, DERL3"	3	28319088	2017	Single-cell	scTyper sigDB
Li.2017.CRC.TME:Cancer cell:Endothelial_cell	Li.2017.CRC.TME	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	non-Immune	Endothelial cell	Endothelial_cell	Endothelial cell	ENG	1	28319088	2017	Single-cell	scTyper sigDB
Li.2017.CRC.TME:Cancer cell:Epithelial_cell	Li.2017.CRC.TME	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	non-Immune	Epithelial cell	Epithelial_cell	Epithelial cell	"VIL1, KRT20, CLDN7, CDH1"	4	28319088	2017	Single-cell	scTyper sigDB
Li.2017.CRC.TME:Cancer cell:Mast_cell	Li.2017.CRC.TME	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Mast cell	Mast_cell	Mast cell	"KIT, TPSB2"	2	28319088	2017	Single-cell	scTyper sigDB
Li.2017.CRC.TME:Cancer cell:Myeloid_cell	Li.2017.CRC.TME	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Myeloid cell	Myeloid_cell	Myeloid cell	"ITGAX, CD68, CD14, CCL3"	4	28319088	2017	Single-cell	scTyper sigDB
Li.2017.CRC.TME:Cancer cell:CAF	Li.2017.CRC.TME	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	non-Immune	CAF	CAF	CAF	"SPARC, COL14A, COL3A1, DCN"	4	28319088	2017	Single-cell	scTyper sigDB
Muller.2017.GBM.TAM:Cancer cell:Blood_derived_TAM	Muller.2017.GBM.TAM	Human	Glioblastoma (GBM)	Brain	UBERON_0000955	Cancer cell	Immune	TAM subtype	Blood_derived_TAM	Blood derived tumor associated macrophage (TAM)	"HLA-DQA1, MS4A6A, TGFBI, HLA-DRB5, CD74, DSE, CD93, FOSL2, PLTP, THBD, IFITM2, METRNL, IQGAP1, PDE4B, FPR3, BHLHE40, TNFSF13, HLA-DMB, KYNU, ITGA4, CREM, GPR65, FGR, MXD1, IL1RN, FAM49A, SH3BGRL, EMB, S100A11, LYZ, PTPN7, SAMHD1, SPINT2, NFIL3, TMEM123, CIB1, CIITA, TREM1, VOPP1, IL10, PLAC8, DOK3, CYBB, CYTH1, GPR132, SYNGR2, PLBD1, PIM1, FXYD5, ARG2, PQLC3, MS4A7"	52	29262845	2017	Single-cell	scTyper sigDB
Muller.2017.GBM.TAM:Cancer cell:Microglial_TAM	Muller.2017.GBM.TAM	Human	Glioblastoma (GBM)	Brain	UBERON_0000955	Cancer cell	Immune	TAM subtype	Microglial_TAM	Microglial tumor associated macrophage (TAM)	"CCL4, ADRB2, NAV3, ADORA3, SIGLEC8, SPRY1, TAL1, RHOB, BIN1, SALL1, KLF2, BHLHE41, SLC1A3, P2RY12"	14	29262845	2017	Single-cell	scTyper sigDB
Patel.2018.OSCC.CAF:Cancer cell:CAF_down	Patel.2018.OSCC.CAF	Human	Oral Squamous Cell Carcinoma (OSCC)	Head and neck	NA	Cancer cell	non-Immune	CAF subtype	CAF_down	up-regulated in C2 (C1-type (lower score for メSMA) vs. C2-type (higher score for メSMA))	"LOC646723, FLJ40504, ADAMTS6, KRT34, C5orf46, SLC1A1, TEK, PRPS1, SEMA7A, SAMD3, ULBP2, SRGN, APCDD1L, CGB1, C13orf33, SLC31A2, CCDC80, LOC399965, DCBLD2, LOC728951, LOC650369, NOTCH3, SH3RF1, ITGB1, RAC2, LOC644350, FLNC, LOC728934, HAS3, NNN, SERPINE1, LRRC32, SNX25, MYC, PHLDB2, LOC728946, HSPB8, ITGA3, KRTAP1-5, RHBDF2, TNFRSF10D, LOC728285, TNFRSF25, LOC728956, NEK7, VEGFA, C21orf7, C11orf41, LOC392787, TUFT1, KRTAP1-3, SMYD3, FIBCD1"	53	30287850	2018	Bulk	scTyper sigDB
Patel.2018.OSCC.CAF:Cancer cell:CAF_up	Patel.2018.OSCC.CAF	Human	Oral Squamous Cell Carcinoma (OSCC)	Head and neck	NA	Cancer cell	non-Immune	CAF subtype	CAF_up	up-regulated in C1 (C1-type (lower score for メSMA) vs. C2-type (higher score for メSMA))	"SEPP1, FMOD, CDKN1C, DCHS1, PDGFD, AGPAT4, FLJ22536, SAMD5, GOLSYN, GALNT14, KBTBD11, PCDH18, IGF2, EPHX1, SPATA13, GPNMB, SSFA2, MBOAT1, BMP4, MAF, MRPS6, RASSF2, SEMA4D, ZNF521, FOXQ1, SOX4, SNCAIP, ALDH3A2, C1orf21, MITF, KCTD12, SIPA1L2, SLC2A9, ANGPTL2, FOXF1, CXCR7, SOCS2, CLDN23, RUNX1T1, CACNA2D3, SNX29, RAB7L1, EYA1, TP53I11, GPR177, PGF, TNFRSF19, CAMK2G, ZNF503, LRIG3, ARHGEF19, MFAP4, DOK6, SLPI, C1S, MYLIP, LTBP4, CDC14B, PIR, ADRA1B, TFAP2C, AMOT, SH3RF3, AP1S2, BOC, SYTL2, CYB5A, GAS1, PDE4B, ROBO2, HSPC157, SETBP1, CPE, C13orf15, LOC728431, HSPA2, RUNX2, KCNIP3, AEBP1, ACACB, GYPC, SLC9A9, PELI2"	83	30287850	2018	Bulk	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:T_cell	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	Immune	T cell	T_cell	T cell	"CD2, CD3D, CD3E, CD3G"	4	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:B_Plasma_cell	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	Immune	B cell or Plasma cell	B_Plasma_cell	B cell or Plasma cell	"SLAMF7, CD79A, BLNK, FCRL5"	4	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:Dendritic_cell	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	Immune	Dendritic cell	Dendritic_cell	Dendritic cell	"CD40, CD80, CD83, CCR7"	4	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:Endothelial_cell	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	Endothelial cell	Endothelial_cell	Endothelial cell	"PECAM1, VWF, ENG"	3	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:Epithelial_cell	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	Epithelial cell	Epithelial_cell	Epithelial cell	"KRT14, KRT17, KRT6A, KRT5, KRT19, KRT8, KRT16, KRT18, KRT6B, KRT15, KRT6C, KRTCAP3, EPCAM, SFN"	14	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:Mast_cell	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	Immune	Mast cell	Mast_cell	Mast cell	"CMA1, MS4A2, TPSAB1, TPSB2"	4	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:Macrophage	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	Immune	Macrophage	Macrophage	Macrophage	"CD14, CD163, CD68, FCGR2A, CSF1R"	5	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:Myocyte	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	Immune	Myocyte	Myocyte	Myocyte	"ACTA1, ACTN2, MYL2, MYH2"	4	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.TME:Cancer cell:Fibroblast	Puram.2017.HNSCC.TME	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	Fibroblast	Fibroblast	Fibroblast	"FAP, PDPN, COL1A2, DCN, COL3A1, COL6A1"	6	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.CAF:Cancer cell:CAF	Puram.2017.HNSCC.CAF	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	CAF	CAF	CAF	"FAP, THY1, PDPN, MMP2, MMP11, PDGFRA, PDGFRL, TGFB3"	8	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.CAF:Cancer cell:CAF1	Puram.2017.HNSCC.CAF	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	CAF subtype	CAF1	CAF1	"CTHRC1, COL1A1, POSTN, TPM4, MFAP2, SPARC, WNT5A, COL3A1, LOC541471, TNFRSF12A, INHBA, THY1, SERPINH1, LOXL2, RAB31, GPM6B, ACTN1, IFI27, LGALS1, SERPINE1, PLAUR, HIF1A, CHN1, THBS2, ASPN, TNC, ARF4, CALU, LUM, TWIST1, MMP11, SPHK1, PRDM1, NREP, LY6E, TNFAIP6, BPGM, COL5A1, CAV1, TMEM45A, COL12A1, PXDN, PDPN, RIN2, S100A16, IL1R1, PTK7, TPM1, RCN3, COL6A1, COL5A2, GBP1, ITGB1, IL24, PLAU, AEBP1, COL1A2, TPM2, CLEC11A, AXL, ADAMTS2, IGFBP3, GREM1, MMP1, DUSP14, TAGLN, PPIC, REEP3, RAP1B, TNFRSF21, CTSK, SPON2, RARRES2, LEPRE1, RHOC, PRSS23, H1F0, PLOD2, KIAA1217, C1QTNF6, CPE, IFITM1, MYL6, PHLDA1, LTBP1, ANTXR1, YIF1A, CRABP2, ITGA5, COL6A3, TWIST2, SULF1, C1orf198, SRPX2, LMCD1, KDELR3, PKIG, IFIT3, VMP1, RABAC1, CPXM1, RGS3, MYO1B, WBP5, MYH9, ITGB5, SEC23A, HSPB1, FRMD6, PDLIM7, PRKCDBP, ILK, WIPI1, CDH11, PLAT, SGIP1, STEAP1, PON2, HAS2, PTEN, FMOD, CALD1, MMP3, PHLDA2, P4HA2, ECM1, SNAI2, FNDC3B, UBD, BMP1, SDC4, FAP, NPTN, GNAI1, CLIC4, AQP1, ITGA1, LAMP5, FADS1, MYL9, SELM, FN1, ANGPTL2, HAPLN3, SULF2, FAM114A1, ID3, TSKU, ACTA2, C5orf15, LOXL3, COL6A2, GEM, TGFBI, SGCB, PDLIM3, FKBP9, EDNRA, ITM2C, CRISPLD2, F2RL2, RCN1, IL8, RAB2A, F2R, SEC31A, C12orf75, STARD13, TWSG1, MRPL32, RSU1, FBN1, B4GALT1, VCL, TDO2, CCL2, MARCKS, CNIH4, GOLM1, CNN3, STEAP2, DKK3, ANXA5, TMEM30A, MRPS24, MMP19, EPAS1, KCTD10, IER3IP1, TNFRSF6B, CD59, ID1, DDAH1, STC1, SLC39A6, PGM3, PLOD1, C12orf23, CTTN, GGT5, CXCL6, FBXO32, FKBP10, PTS, SMIM3, TRIB2, HEPH, RRBP1"	208	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.CAF:Cancer cell:CAF2	Puram.2017.HNSCC.CAF	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	CAF subtype	CAF2	CAF2	"CFD, APOD, CXCL12, GPC3, SEPP1, GSN, CXCL14, MFAP4, GPX3, MGP, SPARCL1, LTBP4, ADH1B, ZBTB16, ABCA8, C3, IGF1, PODN, PRELP, PDK4, FHL1, ABI3BP, RNASE4, PLA2G2A, BTG2, TNXB, CYBRD1, FBLN1, HSPB6, MGST1, ZFP36, VIT, SFRP1, ADAMTS1, MAMDC2, PLTP, SRPX, PDGFRL, ALDH1A1, EFEMP1, A2M, MTRNR2L2, SMOC2, MTRNR2L8, PTGDS, NFIA, DPT, FGF7, ITM2A, FIGF, ANGPTL1, JUNB, RPL13A, CILP, MEG3, JUN, CD34, FOSB, MTRNR2L1, VIM, CHRDL1, SERPINA3, TIMP3, TGFBR3, NTRK2, MYOC, THBS4, CST3, PLAC9, PI16, IGFBP6, IER2, FGL2, RPL14, COL14A1, RAMP2, DHRS3, OLFML3, ABLIM1, CD302, CCDC80, RBMS3, MT1X, FOS, CAPN6, LAMA2, HSPA1B, ABCA6, MFAP5, FXYD6, OGN, LRP1, PPP1R15A, COL15A1, ADIRF, ALDH2, PPAP2B, METTL7A, WISP2, LGALS3, CLU, LHFP, NDRG2, SOD3, TFPI, NFIB, MTUS1, TENC1, EBF1, STOM, ZFAS1, SAMHD1, IGFBP5, KLF4, CDO1, ADAM33, PCDHGC3, PRNP, EPB41L2, FBLN2, GADD45B, VAT1, PLAGL1, CFH, BTF3, KIAA1683, ESD, EDNRB, MYC, LEPR, GAS6, DDAH2, FIBIN, C7, SPTBN1, RPL10A, ITM2B, BRD2, CPQ, HSD17B11, CEBPD, GSTM5, SESN1, PDGFRA, ANG, FMO2, CTGF, BMP4, ZFAND5, GALNT16, FBLN5, SCARA5, PROS1, FOXO3, RECK, SLPI, RPL22, ANKRD36BP1, EBF2, ECHDC2, AGT, NPDC1, DDIT3, TPPP3, PLSCR4, NXF1, F10, AKR1C3, PDGFD, CTSF, FCGRT, RARRES1, MATN2, ZNF460, CYR61, CDKN1A, INMT, EIF1B, SOCS3, APP, ITIH5, GABARAPL1, GSTM2, RASD1, NR4A1, NT5E, MAP1LC3C, EPB41L4A-AS1, ACVR2A, RPS4Y1, TNFAIP2, FAM13C, CPED1, TGFBR2, SCPEP1, RND3, HSPB8, SGCE, ASS1, LAMB2, TMEM176A, ADH5, IL11RA, C5orf4, CYP27A1, CBLB, PID1, EGFR, TMEM159, MT1M, PPP1R10, ARHGAP10, NID1, SLIT3, CRTAP, CAB39L, CDC42EP4, SLC19A2, SLC40A1, SPG20, CALCOCO1, SDC2, BCL6, DDX39B, GPNMB, MT1A, BDH2, ENPP2, SYNPO2, IL6ST, SERINC1, TRIP10, PLBD1, PHF17, MT1E, NFKBIZ, MOB3B, SELENBP1, TCEA3, AKAP12, PPAP2A"	241	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.CAF:Cancer cell:Myofibroblast	Puram.2017.HNSCC.CAF	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	CAF subtype	Myofibroblast	Myofibroblast	"ACTA2, MCAM, MYLK, MYL9, IL6, PDGFA"	6	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.Malignant:Cancer cell:Cell_cycle	Puram.2017.HNSCC.Malignant	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	Malignant subtype	Cell_cycle	Cell cycle	"TK1, HMGB2, ZWINT, MAD2L1, TUBA1B, STMN1, KIF22, CKS1B, H2AFZ, CENPW, CDC20, DTYMK, UBE2C, UBE2T, NUSAP1, RRM2, BIRC5, RNASEH2A, PCNA, TUBB, KPNA2, ASF1B, TRIP13, CCNB1, TPX2, CCNB2, TYMS, PTTG1, KIAA0101, GMNN, DNAJC9, CCNA2, CKS2, MLF1IP, VRK1, CENPM, PRC1, SPAG5, TOP2A, AURKB, FEN1, TMEM106C, RRM1, RFC4, MCM7, CDKN3, NUDT1, PBK, MELK, ANLN, MCM5, PLK1, GGH, MCM4, CENPN, TMPO, CDCA3, DEK, RPA2, KIF2C, CDK1, CDCA5, LSM4, KNSTRN, TUBG1, SMC4, CSE1L, UHRF1, RANBP1, CDCA8, MCM2, RFC2, HMGN2, ATAD2, HAT1, PKMYT1, SIVA1, FANCI, ECT2, POLE3, WDR34, MCM3, NCAPG2, TUBB6, NCAPD2, GINS2, TIMELESS, RAD51, CMC2, OIP5, TUBB4B, APOBEC3B, ORC6, C19orf48, SNRNP25, RFC3, TROAP, EBP, DKC1, H2AFV"	100	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.Malignant:Cancer cell:Epithelial_differentiation_1	Puram.2017.HNSCC.Malignant	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	Malignant subtype	Epithelial_differentiation_1	p-EMT high and Epithelial differentiation	"IL1RN, SLPI, CLDN4, S100A9, SPRR1B, PVRL4, RHCG, SDCBP2, S100A8, APOBEC3A, GRHL1, SULT2B1, ELF3, KRT16, PRSS8, MXD1, S100A7, KRT6B, LYPD3, TACSTD2, CDKN1A, KLK11, GPRC5A, KLK10, TMBIM1, PLAUR, CLDN7, DUOXA1, PDZK1IP1, NCCRP1, IDS, PPL, ZNF750, EMP1, CLDN1, CRB3, CYB5R1, DSC2, S100P, GRHL3, SPINT1, SDR16C5, SPRR1A, WBP2, GRB7, KLK7, TMEM79, SBSN, PIM1, CLIC3, MALAT1, TRIP10, CAST, TMPRSS4, TOM1, A2ML1, MBOAT2, LGALS3, ERO1L, EHF, LCN2, YPEL5, ALDH3B2, DMKN, PIK3IP1, CEACAM6, OVOL1, TMPRSS11E, CD55, KLK6, SPRR2D, NDRG2, CD24, HIST1H1C, LY6D, CLIP1, HIST1H2AC, BNIPL, QSOX1, ECM1, DHRS3, PPP1R15A, TRIM16, AQP3, IRF6, CSTA, RAB25, HOPX, GIPC1, RAB11FIP1, CSTB, KRT6C, PKP1, JUP, MAFF, DSG3, AKTIP, KLF3, HSPB8, H1F0"	100	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.Malignant:Cancer cell:Epithelial_differentiation_2	Puram.2017.HNSCC.Malignant	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	Malignant subtype	Epithelial_differentiation_2	p-EMT low and Epithelial differentiation	"LY6D, KRT16, KRT6B, LYPD3, KRT6C, TYMP, FABP5, SCO2, FGFBP1, JUP, IMP4, DSC2, TMBIM1, KRT14, C1QBP, SFN, S100A14, RAB38, GJB5, MRPL14, TRIM29, ANXA8L2, KRT6A, PDHB, AKR1B10, LAD1, DSG3, MRPL21, NDUFS7, PSMD6, AHCY, GBP2, TXN2, PSMD13, NOP16, EIF4EBP1, MRPL12, HSD17B10, LGALS7B, THBD, EXOSC4, APRT, ANXA8L1, ATP5G1, S100A2, TBRG4, MAL2, NHP2L1, DDX39A, ZNF750, UBE2L6, WDR74, PPIF, PRMT5, VSNL1, VPS25, SNRNP40, ADRM1, NDUFS8, TUBA1C, TMEM79, UQCRFS1, EIF3K, NME2, PKP3, SERPINB1, RPL26L1, EIF6, DSP, PHLDA2, S100A16, LGALS7, MT1X, UQCRC2, EIF3I, MRPL24, CCT7, RHOV, ECE2, SSBP1, POLDIP2, FIS1, CKMT1A, GJB3, NME1, MRPS12, GPS1, ALG3, MRPL20, EMC6, SRD5A1, PA2G4, ECSIT, MRPL23, NAA20, HMOX2, COA4, DCXR, PSMD8, WBSCR22"	100	29198524	2017	Single-cell	scTyper sigDB
Puram.2017.HNSCC.Malignant:Cancer cell:Hypoxia	Puram.2017.HNSCC.Malignant	Human	Head And Neck Squamous Cell Carcinoma (HNSCC)	Head and neck	NA	Cancer cell	non-Immune	Malignant subtype	Hypoxia	Hypoxia	"NDRG1, IGFBP3, PTHLH, EGLN3, BNIP3, NDUFA4L2, ERO1L, P4HA1, SLC2A1, ENO2, HK2, PGF, LDHA, PGK1, PDK1, DHRS3, DDIT4, PVRL4, GPNMB, BIK, GJB6, C4orf3, IGFBP2, FAM162A, GPI, LPIN3, PLAU, ADM, ANGPTL4, DARS, NUPR1, SERPINE1, PGAM1, ALDOA, DAAM1, CXADR, SEMA4B, CA9, CIB1, SPRR1B, PLIN2, WSB1, HILPDA, NOL3, PFKFB3, IFNGR1, H1F0, KDM3A, BCL6, BNIP3L, ZFP36L1, HLA-E, PIK3IP1, CLK3, POLR1D, BTG1, NPC2, LAMP2, DSG2, SAT1, AK4, SMS, FRMD6, CLDND1, ACP5, AP1G2, TPI1, PLAUR, BCL10, TMEM59, HAS3, SERINC1, C1orf43, ENO1, CSDA, PFKP, KLHL24, HIST1H1C, RBPJ, BHLHE40, GAPDH, UPK3BL, LTBP1, P4HA2, HBP1, GRHL1, DDIT3, ANXA1, ITGA5, LOC100862671, PLS3, TSC22D2, GLTP, PLOD2, PERP, MALL, CTNND1, KDM5B, AHNAK2, PNRC1"	100	29198524	2017	Single-cell	scTyper sigDB
